team_size,team_size_total
,0
1,22
2,145
3,80
4,44
5,39
6,32
7,15
8,23
9,12
10,24
11,33
12,19
13,8
14,8
15,21
16,4
17,4
18,6
19,4
20,17
21,4
22,4
23,3
24,3
25,12
26,3
27,1
28,2
29,1
30,12
31,2
32,3
34,3
35,7
36,2
37,4
38,2
39,2
40,19
42,2
43,2
45,9
47,1
49,1
50,20
51,12
52,2
53,2
54,2
55,8
58,1
60,7
63,1
64,2
65,7
69,1
70,8
73,2
75,7
77,1
79,1
80,9
82,1
84,1
85,3
87,1
89,1
90,5
92,1
94,1
97,1
99,1
100,15
104,1
110,9
114,1
115,1
120,3
123,1
125,2
130,4
140,4
145,2
150,20
158,1
160,9
161,1
165,2
168,1
170,2
175,1
176,1
180,1
188,1
190,3
200,18
201,7
205,1
210,1
220,3
223,1
225,2
230,2
250,2
254,1
260,1
275,1
280,1
300,11
310,2
330,1
350,6
355,1
371,1
373,1
400,9
405,1
440,1
450,1
500,8
501,3
520,1
540,1
550,2
580,1
600,3
648,1
650,1
700,4
750,1
775,1
800,2
830,1
890,1
900,1
950,1
1000,2
1125,1
1200,2
1500,1
1600,1
1800,1
1900,1
2000,2
2100,1
2500,1
2600,1
2800,1
4000,1
5000,1